rank,country,score,gdp,social_support,life_expectancy,freedom,generosity,corruption
1,Switzerland,7.59,1.4,1.35,0.94,0.67,0.3,0.42
2,Iceland,7.56,1.3,1.4,0.95,0.63,0.44,0.14
3,Denmark,7.53,1.33,1.36,0.87,0.65,0.34,0.48
4,Norway,7.52,1.46,1.33,0.89,0.67,0.35,0.37
5,Canada,7.43,1.33,1.32,0.91,0.63,0.46,0.33
6,Finland,7.41,1.29,1.32,0.89,0.64,0.23,0.41
7,Netherlands,7.38,1.33,1.28,0.89,0.62,0.48,0.32
8,Sweden,7.36,1.33,1.29,0.91,0.66,0.36,0.44
9,New Zealand,7.29,1.25,1.32,0.91,0.64,0.48,0.43
10,Australia,7.28,1.33,1.31,0.93,0.65,0.44,0.36
11,Israel,7.28,1.23,1.22,0.91,0.41,0.33,0.08
12,Costa Rica,7.23,0.96,1.24,0.86,0.63,0.25,0.11
13,Austria,7.2,1.34,1.3,0.89,0.62,0.33,0.19
14,Mexico,7.19,1.02,0.91,0.81,0.48,0.14,0.21
15,United States,7.12,1.39,1.25,0.86,0.55,0.4,0.16
16,Brazil,6.98,0.98,1.23,0.7,0.49,0.15,0.18
17,Luxembourg,6.95,1.56,1.22,0.92,0.62,0.28,0.38
18,Ireland,6.94,1.34,1.37,0.9,0.62,0.46,0.29
19,Belgium,6.94,1.31,1.29,0.9,0.58,0.22,0.23
20,United Arab Emirates,6.9,1.43,1.13,0.81,0.64,0.26,0.39
21,United Kingdom,6.87,1.27,1.29,0.91,0.6,0.52,0.32
22,Oman,6.85,1.36,1.08,0.76,0.63,0.22,0.33
23,Venezuela,6.81,1.04,1.26,0.72,0.43,0.06,0.11
24,Singapore,6.8,1.52,1.02,1.03,0.54,0.31,0.49
25,Panama,6.79,1.06,1.2,0.8,0.54,0.24,0.09
26,Germany,6.75,1.33,1.3,0.89,0.61,0.28,0.22
27,Chile,6.67,1.11,1.12,0.86,0.44,0.33,0.13
28,Qatar,6.61,1.69,1.08,0.8,0.64,0.33,0.52
29,France,6.58,1.28,1.26,0.95,0.55,0.12,0.21
30,Argentina,6.57,1.05,1.25,0.79,0.45,0.11,0.08
31,Czech Republic,6.5,1.18,1.21,0.84,0.46,0.11,0.03
32,Uruguay,6.48,1.06,1.21,0.81,0.6,0.23,0.25
33,Colombia,6.48,0.92,1.24,0.69,0.53,0.18,0.05
34,Thailand,6.46,0.97,1.27,0.74,0.56,0.58,0.03
35,Saudi Arabia,6.41,1.4,1.08,0.72,0.31,0.14,0.33
36,Spain,6.33,1.23,1.31,0.96,0.46,0.18,0.06
37,Malta,6.3,1.21,1.3,0.89,0.6,0.52,0.14
38,Taiwan,6.3,1.29,1.08,0.88,0.4,0.25,0.08
39,Kuwait,6.3,1.55,1.17,0.72,0.55,0.16,0.26
40,Suriname,6.27,1.0,0.97,0.61,0.6,0.17,0.14
41,Trinidad and Tobago,6.17,1.21,1.18,0.61,0.56,0.32,0.01
42,El Salvador,6.13,0.76,1.03,0.68,0.4,0.11,0.12
43,Guatemala,6.12,0.75,1.04,0.64,0.58,0.27,0.09
44,Uzbekistan,6.0,0.63,1.34,0.6,0.66,0.23,0.31
45,Slovakia,6.0,1.17,1.27,0.79,0.32,0.17,0.03
46,Japan,5.99,1.27,1.26,0.99,0.5,0.11,0.18
47,South Korea,5.98,1.24,0.96,0.97,0.33,0.19,0.08
48,Ecuador,5.98,0.86,1.0,0.79,0.49,0.12,0.18
49,Bahrain,5.96,1.32,1.22,0.75,0.45,0.17,0.31
50,Italy,5.95,1.25,1.2,0.95,0.26,0.23,0.03
51,Bolivia,5.89,0.68,0.98,0.54,0.57,0.21,0.09
52,Moldova,5.89,0.59,1.02,0.62,0.33,0.21,0.02
53,Paraguay,5.88,0.76,1.3,0.66,0.54,0.34,0.08
54,Kazakhstan,5.86,1.12,1.12,0.64,0.52,0.12,0.08
55,Slovenia,5.85,1.18,1.27,0.87,0.61,0.25,0.04
56,Lithuania,5.83,1.15,1.26,0.73,0.21,0.03,0.01
57,Nicaragua,5.83,0.59,1.14,0.74,0.55,0.28,0.19
58,Peru,5.82,0.9,0.97,0.73,0.41,0.15,0.06
59,Belarus,5.81,1.03,1.23,0.74,0.38,0.11,0.19
60,Poland,5.79,1.13,1.28,0.78,0.53,0.17,0.04
61,Malaysia,5.77,1.12,1.07,0.72,0.53,0.33,0.11
62,Croatia,5.76,1.08,0.8,0.79,0.26,0.05,0.02
63,Libya,5.75,1.13,1.12,0.7,0.42,0.18,0.11
64,Russia,5.72,1.14,1.24,0.67,0.37,0.0,0.03
65,Jamaica,5.71,0.81,1.15,0.69,0.5,0.21,0.02
66,North Cyprus,5.7,1.21,1.07,0.92,0.49,0.26,0.14
67,Cyprus,5.69,1.21,0.89,0.92,0.41,0.31,0.06
68,Algeria,5.6,0.94,1.08,0.62,0.29,0.08,0.17
69,Kosovo,5.59,0.8,0.81,0.63,0.25,0.28,0.05
70,Turkmenistan,5.55,0.96,1.23,0.54,0.48,0.17,0.31
71,Mauritius,5.48,1.01,0.99,0.71,0.56,0.38,0.08
72,Hong Kong,5.47,1.39,1.06,1.01,0.6,0.39,0.37
73,Estonia,5.43,1.15,1.23,0.77,0.45,0.09,0.15
74,Indonesia,5.4,0.83,1.09,0.64,0.47,0.52,0.0
75,Vietnam,5.36,0.63,0.91,0.75,0.59,0.17,0.1
76,Turkey,5.33,1.06,0.95,0.73,0.23,0.12,0.16
77,Kyrgyzstan,5.29,0.47,1.15,0.65,0.43,0.3,0.04
78,Nigeria,5.27,0.65,0.9,0.16,0.34,0.27,0.04
79,Bhutan,5.25,0.77,1.1,0.57,0.53,0.48,0.15
80,Azerbaijan,5.21,1.02,0.94,0.64,0.37,0.08,0.16
81,Pakistan,5.19,0.6,0.41,0.51,0.12,0.34,0.1
82,Jordan,5.19,0.9,1.05,0.7,0.41,0.11,0.14
82,Montenegro,5.19,0.97,0.91,0.73,0.18,0.16,0.14
84,China,5.14,0.89,0.95,0.82,0.52,0.08,0.03
85,Zambia,5.13,0.47,0.92,0.3,0.49,0.2,0.12
86,Romania,5.12,1.04,0.89,0.77,0.35,0.14,0.01
87,Serbia,5.12,0.92,1.01,0.75,0.2,0.19,0.03
88,Portugal,5.1,1.16,1.14,0.88,0.51,0.14,0.01
89,Latvia,5.1,1.11,1.1,0.72,0.3,0.18,0.06
90,Philippines,5.07,0.71,1.04,0.58,0.63,0.25,0.12
91,Somaliland region,5.06,0.19,0.95,0.44,0.47,0.5,0.4
92,Morocco,5.01,0.73,0.64,0.61,0.42,0.07,0.09
93,Macedonia,5.01,0.92,1.0,0.74,0.33,0.22,0.05
94,Mozambique,4.97,0.08,1.03,0.09,0.34,0.22,0.16
95,Albania,4.96,0.88,0.8,0.81,0.36,0.14,0.06
96,Bosnia and Herzegovina,4.95,0.83,0.92,0.79,0.09,0.25,0.0
97,Lesotho,4.9,0.38,1.04,0.08,0.32,0.16,0.13
98,Dominican Republic,4.88,0.9,1.17,0.67,0.58,0.22,0.14
99,Laos,4.88,0.59,0.74,0.55,0.6,0.42,0.24
100,Mongolia,4.87,0.83,1.3,0.6,0.44,0.33,0.03
101,Swaziland,4.87,0.71,1.07,0.08,0.31,0.18,0.03
102,Greece,4.86,1.15,0.93,0.88,0.08,0.0,0.01
103,Lebanon,4.84,1.03,0.8,0.84,0.34,0.22,0.05
104,Hungary,4.8,1.12,1.2,0.76,0.32,0.13,0.03
105,Honduras,4.79,0.6,0.95,0.7,0.4,0.23,0.07
106,Tajikistan,4.79,0.39,0.86,0.57,0.47,0.23,0.15
107,Tunisia,4.74,0.88,0.6,0.74,0.26,0.06,0.06
108,Palestinian Territories,4.72,0.6,0.93,0.66,0.24,0.11,0.13
109,Bangladesh,4.69,0.4,0.43,0.6,0.41,0.21,0.13
